매물ID,모델,모델_평균가_TE,현재가격_만원,주행거리_km,배기량_cc,좌석수,차량연령,사고강도점수,주요옵션_선루프,주요옵션_헤드램프 (LED),주요옵션_주차감지센서,주요옵션_후방카메라,주요옵션_자동에어컨,주요옵션_스마트키,주요옵션_내비게이션,주요옵션_열선시트,주요옵션_통풍시트,주요옵션_가죽시트,제조사_현대,제조사_기아,제조사_제네시스,제조사_KG모빌리티(쌍용),제조사_쉐보레(GM대우),제조사_르노코리아(삼성),연료_LPG,연료_가솔린,연료_하이브리드,연료_디젤,연료_전기,연료_수소,색상_흰색,색상_검정색,색상_은색,색상_기타,변속기_오토계열,차급_SUV계열,차급_세단계열,flag_price_9999,flag_high_mileage,flag_non_ev_cc_zero,flag_cc_over_5000,flag_seat_over_12,flag_age_over_25,flag_accident_over_15,flag_non_ev_non_h2_cc_zero
41322940.0,더 뉴 렉스턴 스포츠,2465.627118644068,1790.0,86555,2157.0,5,5,4,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41323251.0,베리 뉴 티볼리,1315.876404494382,1360.0,31945,1497.0,5,6,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41323554.0,더 뉴 렉스턴 스포츠 칸,2886.434210526316,3230.0,32187,2157.0,5,2,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41324395.0,티볼리,716.5412844036697,830.0,62425,1597.0,5,11,7,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
41324522.0,코란도 투리스모,658.9183673469388,850.0,93953,2157.0,9,9,5,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41324565.0,베리 뉴 티볼리,1315.876404494382,1130.0,61140,1497.0,5,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41326912.0,토레스,2458.245033112583,2270.0,30785,1497.0,5,4,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41326962.0,티볼리,716.5412844036697,660.0,150518,1597.0,5,10,4,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41327886.0,뷰티풀 코란도,1788.5360824742268,1870.0,19352,1497.0,5,6,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41328398.0,뷰티풀 코란도,1788.5360824742268,1700.0,41169,1497.0,5,6,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41331087.0,더 뉴 렉스턴 스포츠,2465.627118644068,2690.0,26743,2157.0,5,3,0,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41332084.0,더 뉴 렉스턴 스포츠,2465.627118644068,2490.0,67269,2157.0,5,3,4,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41332813.0,렉스턴 스포츠,1540.0945945945946,1450.0,148462,2157.0,5,8,6,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41333607.0,렉스턴 스포츠,1540.0945945945946,1420.0,100971,2157.0,5,7,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41333884.0,티볼리 에어,1023.0752688172043,750.0,121017,1597.0,5,10,4,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41334089.0,뉴코란도 C,468.6666666666667,470.0,127095,2157.0,5,10,8,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41334333.0,티볼리 아머,1085.428571428571,890.0,105526,1597.0,5,8,1,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
41335721.0,뷰티풀 코란도,1788.5360824742268,2400.0,4416,1497.0,5,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41335805.0,토레스,2458.245033112583,1890.0,61140,1497.0,5,4,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41336053.0,렉스턴 스포츠,1540.0945945945946,1200.0,203410,2157.0,5,8,3,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41336838.0,더 뉴 렉스턴 스포츠 칸,2886.434210526316,2950.0,28063,2157.0,5,4,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
41339366.0,토레스,2458.245033112583,2299.0,33445,1497.0,5,4,3,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41339401.0,토레스,2458.245033112583,2420.0,38879,1497.0,5,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41339452.0,티볼리,716.5412844036697,420.0,191345,1597.0,5,11,4,1,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41339681.0,코란도 스포츠,797.9574468085107,399.0,158279,1998.0,5,14,12,1,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41342072.0,토레스,2458.245033112583,2050.0,35758,1497.0,5,4,0,0,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41342242.0,더 뉴 티볼리,1929.7,2260.0,3592,1497.0,5,2,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41342425.0,렉스턴 스포츠,1540.0945945945946,1650.0,101287,2157.0,5,8,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41344352.0,뉴코란도 C,468.6666666666667,660.0,60784,1998.0,5,11,2,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41345084.0,더 뉴 렉스턴 스포츠,2465.627118644068,2660.0,39022,2157.0,5,3,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41345928.0,티볼리 아머,1085.428571428571,790.0,105262,1597.0,5,8,1,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
41347668.0,더 뉴 렉스턴 스포츠 칸,2886.434210526316,2650.0,53074,2157.0,5,4,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41347963.0,토레스,2458.245033112583,2080.0,16237,1497.0,2,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41348672.0,올 뉴 렉스턴,2856.653333333333,2740.0,85906,2157.0,5,5,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41349589.0,액티언 2세대,3125.5714285714284,2810.0,16055,1497.0,5,2,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41351282.0,렉스턴 스포츠 칸,2113.842105263158,2150.0,65835,2157.0,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41352335.0,토레스,2458.245033112583,2490.0,49393,1497.0,5,2,6,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41352783.0,뷰티풀 코란도,1788.5360824742268,1350.0,70957,1597.0,5,7,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
41353509.0,뷰티풀 코란도,1788.5360824742268,1730.0,41858,1597.0,5,6,3,0,0,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
41353523.0,티볼리 아머,1085.428571428571,1070.0,62525,1597.0,5,8,1,0,1,1,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
41354191.0,더 뉴 렉스턴 스포츠 칸,2886.434210526316,2770.0,71892,2157.0,5,5,0,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
41356651.0,토레스,2458.245033112583,2799.0,33900,1497.0,5,3,2,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
41359731.0,티볼리,716.5412844036697,499.0,116145,1597.0,5,11,24,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
41360183.0,티볼리 에어,1023.0752688172043,720.0,127619,1597.0,5,10,11,1,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
41361512.0,렉스턴 뉴 아레나,4272.181818181818,3390.0,41506,2157.0,5,3,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
